Dimension,Power,Time,Optimization
50,800,0.206282,Ofast
50,800,0.204762,Ofast
50,800,0.205821,Ofast
50,800,0.205833,Ofast
50,800,0.204694,Ofast
50,800,0.204605,Ofast
50,800,0.206144,Ofast
50,800,0.205088,Ofast
50,800,0.204681,Ofast
50,800,0.204992,Ofast
50,800,0.205437,Ofast
50,800,0.205051,Ofast
50,800,0.205564,Ofast
50,900,0.230971,Ofast
50,900,0.234054,Ofast
50,900,0.231131,Ofast
50,900,0.230580,Ofast
50,900,0.230838,Ofast
50,900,0.230695,Ofast
50,900,0.230975,Ofast
50,900,0.230699,Ofast
50,900,0.231142,Ofast
50,900,0.231359,Ofast
50,900,0.230579,Ofast
50,900,0.230608,Ofast
50,900,0.230361,Ofast
50,900,0.231022,Ofast
50,900,0.230491,Ofast
50,900,0.229879,Ofast
50,900,0.230938,Ofast
50,900,0.230713,Ofast
50,900,0.230571,Ofast
50,900,0.231573,Ofast
50,900,0.231400,Ofast
50,900,0.230032,Ofast
50,900,0.230512,Ofast
50,900,0.230784,Ofast
50,900,0.229963,Ofast
50,900,0.230716,Ofast
50,900,0.230105,Ofast
50,900,0.231685,Ofast
50,900,0.230010,Ofast
50,900,0.230570,Ofast
50,1000,0.257562,Ofast
50,1000,0.255497,Ofast
50,1000,0.255361,Ofast
50,1000,0.255415,Ofast
50,1000,0.256677,Ofast
50,1000,0.256845,Ofast
50,1000,0.256544,Ofast
50,1000,0.258308,Ofast
50,1000,0.256283,Ofast
50,1000,0.256927,Ofast
50,1000,0.256709,Ofast
50,1000,0.256191,Ofast
50,1000,0.256249,Ofast
50,1000,0.256623,Ofast
50,1000,0.257977,Ofast
50,1000,0.257011,Ofast
50,1000,0.257996,Ofast
50,1000,0.256294,Ofast
50,1000,0.255768,Ofast
50,1000,0.256950,Ofast
50,1000,0.256187,Ofast
50,1000,0.258173,Ofast
50,1000,0.256571,Ofast
50,1000,0.256683,Ofast
50,1000,0.256745,Ofast
50,1000,0.256670,Ofast
50,1000,0.255218,Ofast
50,1000,0.256049,Ofast
50,1000,0.256386,Ofast
50,1000,0.255824,Ofast
50,2000,0.512116,Ofast
50,2000,0.512405,Ofast
50,2000,0.510885,Ofast
50,2000,0.510867,Ofast
50,2000,0.511207,Ofast
50,2000,0.511715,Ofast
50,2000,0.511648,Ofast
50,2000,0.510951,Ofast
50,2000,0.511638,Ofast
50,2000,0.512122,Ofast
50,2000,0.511457,Ofast
50,2000,0.511025,Ofast
50,2000,0.511132,Ofast
50,2000,0.510375,Ofast
50,2000,0.511610,Ofast
50,2000,0.510585,Ofast
50,2000,0.511912,Ofast
50,2000,0.511871,Ofast
50,2000,0.511328,Ofast
50,2000,0.512597,Ofast
50,2000,0.511671,Ofast
50,2000,0.511839,Ofast
50,2000,0.510668,Ofast
50,2000,0.510978,Ofast
50,2000,0.511844,Ofast
50,2000,0.510969,Ofast
50,2000,0.511532,Ofast
50,2000,0.510406,Ofast
50,2000,0.511222,Ofast
50,2000,0.510626,Ofast
50,3000,0.765955,Ofast
50,3000,0.766526,Ofast
50,3000,0.765587,Ofast
50,3000,0.766590,Ofast
50,3000,0.766140,Ofast
50,3000,0.768622,Ofast
50,3000,0.766032,Ofast
50,3000,0.769195,Ofast
50,3000,0.766814,Ofast
50,3000,0.766791,Ofast
50,3000,0.767055,Ofast
50,3000,0.768248,Ofast
50,3000,0.766741,Ofast
50,3000,0.765980,Ofast
50,3000,0.767598,Ofast
