Dimension,Power,Time (Seconds)
50,3000,0.675040
50,3000,0.671016
50,3000,0.711771
50,3000,0.701827
50,3000,0.706625
50,3000,0.726601
50,3000,0.707068
50,3000,0.710706
50,3000,0.677383
50,3000,0.666717
50,3000,0.686943
50,3000,0.732082
50,3000,0.723533
50,3000,0.719784
50,3000,0.727679
50,4000,0.949938
50,4000,0.958704
50,4000,0.952495
50,4000,0.955503
50,4000,0.949679
50,4000,0.938369
50,4000,0.945471
50,4000,0.896114
50,4000,0.900820
50,4000,0.893704
50,4000,0.945492
50,4000,0.888295
50,4000,0.892892
50,4000,0.916632
50,4000,0.912142
50,4000,0.908824
50,4000,0.907462
50,4000,0.920294
50,4000,0.919316
50,4000,0.901577
50,4000,0.887423
50,4000,0.891898
50,4000,0.891540
50,4000,0.888344
50,4000,0.891156
50,4000,0.888818
50,4000,0.880724
50,4000,0.881667
50,4000,0.885459
50,4000,0.885717
50,5000,1.111746
50,5000,1.100041
50,5000,1.119717
50,5000,1.110643
50,5000,1.102974
50,5000,1.116781
50,5000,1.103905
50,5000,1.143015
50,5000,1.103976
50,5000,1.169316
50,5000,1.180477
50,5000,1.116341
50,5000,1.109829
50,5000,1.115576
50,5000,1.165203
50,5000,1.194611
50,5000,1.127027
50,5000,1.118311
50,5000,1.178484
50,5000,1.149438
50,5000,1.232445
50,5000,1.111621
50,5000,1.111145
50,5000,1.118432
50,5000,1.111804
50,5000,1.183998
50,5000,1.190973
50,5000,1.119194
50,5000,1.114322
50,5000,1.108006
50,6000,1.334860
50,6000,1.367358
50,6000,1.361911
50,6000,1.327281
50,6000,1.366965
50,6000,1.359246
50,6000,1.376159
50,6000,1.344153
50,6000,1.331353
50,6000,1.335524
50,6000,1.324638
50,6000,1.331147
50,6000,1.335635
50,6000,1.354447
50,6000,1.325640
50,6000,1.326649
50,6000,1.324646
50,6000,1.322963
50,6000,1.324780
50,6000,1.357671
50,6000,1.500117
50,6000,1.363036
50,6000,1.336049
50,6000,1.346669
50,6000,1.342426
50,6000,1.349077
50,6000,1.345440
50,6000,1.344899
50,6000,1.333878
50,6000,1.332206
50,7000,1.560983
50,7000,1.587943
50,7000,1.622734
50,7000,1.569737
50,7000,1.596875
50,7000,1.603874
50,7000,1.575869
50,7000,1.604633
50,7000,1.609480
50,7000,1.575675
50,7000,1.554994
50,7000,1.604449
50,7000,1.594776
50,7000,1.598436
50,7000,1.641179
50,7000,1.563519
50,7000,1.564812
50,7000,1.564294
50,7000,1.564307
50,7000,1.571396
50,7000,1.593110
50,7000,1.576049
50,7000,1.605797
50,7000,1.599078
50,7000,1.562159
50,7000,1.556651
50,7000,1.586282
50,7000,1.610624
50,7000,1.582425
50,7000,1.613385
50,8000,1.821097
50,8000,1.812104
50,8000,1.818154
50,8000,1.814174
50,8000,1.824598
50,8000,1.815338
50,8000,1.825478
50,8000,1.874022
50,8000,1.813302
50,8000,1.812379
50,8000,1.807284
50,8000,1.810081
50,8000,1.789227
50,8000,1.792013
50,8000,1.804811
50,8000,1.819600
50,8000,1.790668
50,8000,1.783024
50,8000,1.786449
50,8000,1.780837
50,8000,1.784953
50,8000,1.786583
50,8000,1.793497
50,8000,1.801260
50,8000,1.811943
50,8000,1.800547
50,8000,1.810751
50,8000,1.798280
50,8000,1.790487
50,8000,1.809884
50,9000,2.044229
50,9000,2.060399
50,9000,2.029210
50,9000,2.016547
50,9000,2.035414
50,9000,2.023790
50,9000,2.048629
50,9000,2.024549
50,9000,2.069290
50,9000,2.030176
50,9000,2.008506
50,9000,2.024147
50,9000,2.027801
50,9000,2.008812
50,9000,2.036151
50,9000,2.029509
50,9000,2.066997
50,9000,2.040449
50,9000,2.056524
50,9000,2.033026
50,9000,2.024247
50,9000,2.010498
50,9000,2.101382
50,9000,2.021301
50,9000,2.044194
50,9000,2.022414
50,9000,2.035362
50,9000,2.023835
50,9000,1.990541
50,9000,2.014628
50,10000,2.246346
50,10000,2.255654
50,10000,2.214374
50,10000,2.236077
50,10000,2.262930
