Dimension,Power,Time (Seconds)
200,1000,0.833824
200,1000,0.834079
200,1000,0.838434
200,1000,0.848068
200,1000,0.843493
200,1000,0.836774
200,1000,0.848770
200,1000,0.832960
200,1000,0.851034
200,1000,0.855535
200,1000,0.849807
200,1000,0.833093
300,1000,1.539422
300,1000,1.504345
300,1000,1.490791
300,1000,1.527525
300,1000,1.510448
300,1000,1.513958
300,1000,1.487328
300,1000,1.503321
300,1000,1.491837
300,1000,1.492218
300,1000,1.492388
300,1000,1.501789
300,1000,1.502199
300,1000,1.552409
300,1000,1.525224
300,1000,1.518008
300,1000,1.500724
300,1000,1.578969
300,1000,1.842417
300,1000,1.594549
300,1000,1.550514
300,1000,1.646701
300,1000,1.888558
300,1000,2.066114
300,1000,1.730904
300,1000,1.653126
300,1000,1.685333
300,1000,1.703150
300,1000,1.676007
300,1000,1.609508
400,1000,2.891121
400,1000,2.957511
400,1000,2.933878
400,1000,2.847184
400,1000,2.831135
400,1000,2.842717
400,1000,2.830383
400,1000,2.832477
400,1000,2.836734
400,1000,2.955564
400,1000,2.830133
400,1000,2.833143
400,1000,2.918182
400,1000,2.836214
400,1000,2.817431
400,1000,2.821187
400,1000,2.817355
400,1000,2.824095
400,1000,2.823380
400,1000,2.822774
400,1000,2.828738
400,1000,2.821638
400,1000,2.826292
400,1000,2.834540
400,1000,2.834044
400,1000,2.825214
400,1000,2.818932
400,1000,2.824149
400,1000,2.823290
400,1000,2.822899
500,1000,3.709867
500,1000,3.724349
500,1000,3.715166
500,1000,3.718507
500,1000,3.724100
500,1000,3.765225
500,1000,3.712033
500,1000,3.714487
500,1000,3.703708
500,1000,3.715092
500,1000,3.758340
500,1000,3.714948
500,1000,3.715623
500,1000,3.742839
500,1000,3.819491
500,1000,3.765551
500,1000,3.817020
500,1000,3.816819
500,1000,3.738213
500,1000,3.754995
500,1000,3.742643
500,1000,3.851345
500,1000,3.821593
500,1000,3.753442
500,1000,3.796751
500,1000,3.720724
500,1000,3.714517
500,1000,3.758193
500,1000,3.732299
500,1000,3.835423
600,1000,3.871335
600,1000,3.875500
600,1000,3.878584
600,1000,3.876804
600,1000,3.875874
600,1000,3.877031
600,1000,3.876194
600,1000,3.875384
600,1000,3.873328
600,1000,3.878154
600,1000,3.875962
600,1000,3.878189
600,1000,3.874133
600,1000,3.875535
600,1000,3.876862
600,1000,3.877733
600,1000,3.875603
600,1000,3.876152
600,1000,3.873310
600,1000,3.875062
600,1000,3.875368
600,1000,3.877493
600,1000,3.875635
600,1000,3.876868
600,1000,3.878195
600,1000,3.876512
600,1000,3.875298
600,1000,3.873317
600,1000,3.882068
600,1000,3.873008
700,1000,4.845480
700,1000,4.840469
700,1000,4.843571
700,1000,4.842460
700,1000,4.843535
700,1000,4.850621
700,1000,4.841168
700,1000,4.842135
700,1000,4.844616
700,1000,4.844658
700,1000,4.841011
700,1000,4.842189
700,1000,4.844686
700,1000,4.845514
700,1000,4.843980
700,1000,4.844887
700,1000,4.841157
700,1000,4.847131
700,1000,4.843416
700,1000,4.843919
700,1000,4.845728
700,1000,4.844009
700,1000,4.844324
700,1000,4.844601
700,1000,4.846544
700,1000,4.844856
700,1000,4.844203
700,1000,4.839948
700,1000,4.844459
700,1000,4.843344
800,1000,5.964738
800,1000,5.964993
800,1000,5.961595
800,1000,6.002112
800,1000,6.011621
800,1000,6.007307
800,1000,6.006610
800,1000,6.005869
800,1000,6.006146
800,1000,6.010097
800,1000,6.012359
800,1000,6.011755
800,1000,6.011199
800,1000,6.014746
800,1000,6.008222
800,1000,6.017829
800,1000,6.016681
800,1000,6.016567
800,1000,6.005083
800,1000,6.006110
800,1000,6.011788
800,1000,6.007385
800,1000,6.007877
800,1000,6.012286
800,1000,6.011286
800,1000,6.009802
800,1000,6.007827
800,1000,6.008873
800,1000,6.009068
800,1000,6.008554
900,1000,7.680832
900,1000,7.678637
900,1000,7.682398
900,1000,7.682555
900,1000,7.684397
900,1000,7.683705
900,1000,7.682817
900,1000,7.682370
900,1000,7.682658
900,1000,7.679303
900,1000,7.680360
900,1000,7.680783
900,1000,7.678375
900,1000,7.679768
900,1000,7.683553
900,1000,7.692024
900,1000,7.680404
900,1000,7.679589
900,1000,7.683256
900,1000,7.681963
900,1000,7.684669
900,1000,7.679948
900,1000,7.684152
900,1000,7.685427
900,1000,7.683266
900,1000,7.680866
900,1000,7.688541
900,1000,7.686941
900,1000,7.686965
900,1000,7.683549
1000,1000,9.104621
1000,1000,9.098660
1000,1000,9.105318
1000,1000,9.098096
1000,1000,9.102106
1000,1000,9.099526
1000,1000,9.104677
1000,1000,9.107038
1000,1000,9.098203
1000,1000,9.101291
1000,1000,9.102822
1000,1000,9.101074
1000,1000,9.102253
1000,1000,9.105469
1000,1000,9.106711
1000,1000,9.100756
1000,1000,9.107243
1000,1000,9.113693
1000,1000,9.098999
1000,1000,9.097609
1000,1000,9.104702
1000,1000,9.100745
1000,1000,9.098511
1000,1000,9.100320
1000,1000,9.106341
1000,1000,9.095853
1000,1000,9.102217
1000,1000,9.104797
1000,1000,9.101753
1000,1000,9.105702
